indent,Mood,Song-Title,Artist-Name,Genre,Album-Name,Memorable-Lyrics,Full-lyrics,Image,Image-Citation
1,In your feels,Factor In,Kevin Garrett,Pop,Single,"One look at you and I start to crash, can you see the way that you factor in?",https://genius.com/Kevin-garrett-factor-in-lyrics,factorin.jpg,https://atwoodmagazine.com/kgfi-kevin-garrett-factor-in-song-review/
2,Everything hurts,Oblivion,Bastille,Pop,Bad Blood,Are you going to age with grace? Are you going to leave a path to trace?,https://genius.com/Bastille-oblivion-lyrics,oblivion.jpg,https://www.musixmatch.com/lyrics/Bastille/Oblivion
3,It's for the better to let go ,Better Man,Little Big Town,Country,The Breaker,"You push my love away like it's some kind of loaded gun, boy, you never thought I'd run",https://genius.com/Little-big-town-better-man-lyrics,betterman.jpg,https://en.wikipedia.org/wiki/Better_Man_(Little_Big_Town_song)
4,You need to screem and let loose,Little Lion Man,Mumford and Sons,Indie Rock,Babel,"Your boldness stands alone among the wreck, now learn from your mother or else spend your days biting your own neck",https://genius.com/Mumford-and-sons-little-lion-man-lyrics,littlelion.jpg,https://kcamara.files.wordpress.com/2011/02/mumford-and-sons-little-lion-man-island.jpg
5,We all need a little self-love,Naked,Ella Mai,Hip Hop,Ella Mai,"Are you ready to fight just to see what's lost behind my flaws, can you love me naked? ",https://genius.com/Ella-mai-naked-lyrics,naked.jpg,https://www.discogs.com/Ella-Mai-Naked/release/11843009
6,Get up and groove,Fallingwater,Maggie Rogers,Pop-Folk,Heard it in a past life,"Go on tell me just how I could allow, all that's light to end up somehow, where it's getting darker",https://genius.com/Maggie-rogers-fallingwater-lyrics,fallingwater.jpg,https://www.amazon.com/Heard-Past-Life-Maggie-Rogers/dp/B07GVSKBJX
7,Roll the windows down,Stay A Little Longer,Brothers Osborne,Country,Pawn Shop,"I tell myself I'm not in love, but one more time is not enough",https://genius.com/Brothers-osborne-stay-a-little-longer-lyrics,stayalittle.jpg,https://en.wikipedia.org/wiki/Stay_a_Little_Longer_(Brothers_Osborne_song)
8,Sit and Reminicse ,Vienna,Billy Joel,Soft Rock,The Stranger,"Dream on, but don't imagine they'll all come true, When will you realize, Vienna waits for you? ",https://genius.com/Billy-joel-vienna-lyrics,vienna.jpg,https://www.amoeba.com/the-stranger-cd-billy-joel/albums/4141150/
9,Makes you think,In the Blood,John Mayer,Pop/Alternative,The Search for Everything,"Could I change it if I wanted, can I rise above the flood? Will it wash out in the water, or is it always in the blood? ",https://genius.com/John-mayer-in-the-blood-lyrics,intheblood.jpg,https://evokecontemporary.blog/2017/06/02/soey-milk-john-mayers-creative-collaboration/
10,Makes you inspired to change ,Ultralight Beam,Kanye West,Rap,Life of Pablo,"I'm tryna keep my faith, But I'm looking for more, Somewhere I can feel safe, And end my holy war",https://genius.com/Kanye-west-ultralight-beam-lyrics,ultralight.jpg,https://en.wikipedia.org/wiki/The_Life_of_Pablo
